INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,26-Dec-2019,0,XX,17551.35,17660.9,17152.3,17273.05,17273.05,169413,738192.86,1965175,51825,28-Aug-15
FUTIDX,BANKNIFTY,26-Dec-2019,0,XX,17660.05,17762,17261.05,17385.65,17385.65,2855,12520.17,45000,2200,28-Aug-15
FUTIDX,BANKNIFTY,26-Dec-2019,0,XX,17825.35,18244,17390,17470.45,17470.45,145,767.82,1590,1590,28-Aug-15
FUTIDX,CNXINFRA,26-Dec-2019,0,XX,0,0,0,3362.5,3008.85,0,0,0,0,28-Aug-15
FUTIDX,CNXINFRA,26-Dec-2019,0,XX,0,0,0,3349.5,3031.95,0,0,0,0,28-Aug-15
FUTIDX,CNXINFRA,26-Dec-2019,0,XX,0,0,0,3019.6,3050.15,0,0,0,0,28-Aug-15
FUTIDX,CNXIT,26-Dec-2019,0,XX,11595.95,11689.3,11590,11630,11630,404,1175.81,10200,1750,28-Aug-15
FUTIDX,CNXIT,26-Dec-2019,0,XX,0,0,0,11646.45,11743.05,0,0,50,0,28-Aug-15
FUTIDX,CNXIT,26-Dec-2019,0,XX,0,0,0,11620.7,11813.6,0,0,0,0,28-Aug-15
FUTIDX,CNXPSE,26-Dec-2019,0,XX,0,0,0,3617.4,3143.7,0,0,0,0,28-Aug-15
FUTIDX,CNXPSE,26-Dec-2019,0,XX,0,0,0,3585.15,3167.8,0,0,0,0,28-Aug-15
FUTIDX,CNXPSE,26-Dec-2019,0,XX,0,0,0,3158.15,3186.85,0,0,0,0,28-Aug-15
FUTIDX,DJIA,26-Dec-2019,0,XX,16565,16615,16465,16522.5,16522.5,543,2245.96,32725,-1025,28-Aug-15
FUTIDX,DJIA,26-Dec-2019,0,XX,0,0,0,18477.5,16832.5,0,0,0,0,28-Aug-15
FUTIDX,DJIA,26-Dec-2019,0,XX,0,0,0,17315,16957.5,0,0,0,0,28-Aug-15
FUTIDX,DJIA,26-Dec-2019,0,XX,0,0,0,19362.5,17060,0,0,0,0,28-Aug-15
FUTIDX,DJIA,26-Dec-2019,0,XX,0,0,0,19560,17395,0,0,0,0,28-Aug-15
FUTIDX,DJIA,26-Dec-2019,0,XX,0,0,0,19635,17737.5,0,0,0,0,28-Aug-15
FUTIDX,FTSE100,26-Dec-2019,0,XX,0,0,0,7413,6220,0,0,0,0,28-Aug-15
FUTIDX,FTSE100,26-Dec-2019,0,XX,0,0,0,6891,6258,0,0,0,0,28-Aug-15
FUTIDX,FTSE100,26-Dec-2019,0,XX,0,0,0,6531,6305,0,0,0,0,28-Aug-15
FUTIDX,FTSE100,26-Dec-2019,0,XX,0,0,0,7042,6343,0,0,0,0,28-Aug-15
FUTIDX,FTSE100,26-Dec-2019,0,XX,0,0,0,7571,6467,0,0,0,0,28-Aug-15
FUTIDX,FTSE100,26-Dec-2019,0,XX,0,0,0,7242,6595,0,0,0,0,28-Aug-15
FUTIDX,NFTYMCAP50,26-Dec-2019,0,XX,0,0,0,3316.15,3164.85,0,0,37500,0,28-Aug-15
